frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,214514.457392,43904.000000
128,182592.576046,40459.000000
16,221026.723002,43756.000000
16384,182797.490262,99148.000000
2,209371.305823,48298.000000
2048,232979.220249,46411.000000
256,166298.656465,49634.000000
32,185273.091670,40223.000000
32768,248169.013892,49571.000000
64,263008.331220,195342.000000
4,154292.936870,36250.000000
65536,753058.335107,53242.000000
4096,177981.441819,40320.000000
512,157347.090996,37039.000000
8192,384370.241297,55548.000000
8,197507.005762,63109.000000
