frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
16384,60721369.336839,2041944.000000
65536,72000707.589167,2172596.000000
4096,81017563.040252,2694462.000000
4,78912921.863036,2220189.000000
2,78764542.323965,2226606.000000
8,79831436.346313,2226619.000000
1024,82905234.559994,2206786.000000
512,81972863.089771,2308989.000000
16,79610231.144474,2186923.000000
256,79829812.996486,2276207.000000
32,80594489.233299,2184032.000000
128,80475704.877515,2105194.000000
64,82206021.688506,2323878.000000
2048,83283818.861828,2324827.000000
32768,85612508.293088,2276721.000000
8192,98837133.414566,2379703.000000
