frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,157748.846027,33991.000000
128,229285.140644,46909.000000
16384,55642.662364,14955.000000
256,162855.126794,34740.000000
2048,113259.656357,38569.000000
16,200155.458609,55638.000000
32768,12595.286579,11453.000000
2,223826.939384,49237.000000
4096,378201.582083,56726.000000
4,189843.838970,87425.000000
32,177444.834656,42469.000000
65536,130666.407772,43997.000000
8192,133832.834600,46080.000000
512,221379.167218,42720.000000
8,175743.164649,49222.000000
64,197663.321509,45992.000000
