frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
65536,66468860.904380,1951845.000000
4096,79892957.766993,2371242.000000
2,76786325.447018,2152738.000000
2048,78764992.771941,2201720.000000
256,79106853.565201,2213953.000000
4,79692613.336369,2248179.000000
8,78932606.710558,2205325.000000
8192,78919623.686138,2186849.000000
64,80507500.065730,2290261.000000
1024,81680606.175110,2116663.000000
128,80908636.462613,2194271.000000
16,80298522.956602,2235591.000000
16384,85056375.332747,2344060.000000
32,81436520.172666,2175071.000000
512,84394230.075202,2327365.000000
32768,100255167.275151,2426921.000000
