frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
65536,41963089.269373,1737155.000000
4,48421141.880063,2147749.000000
16,46798543.961657,2161947.000000
2,48243412.247299,2162052.000000
1024,47899291.187373,1972699.000000
32768,44515526.862517,2196708.000000
16384,35769631.821884,1925939.000000
2048,46437372.062607,2083156.000000
4096,46226635.694578,2142243.000000
128,50171035.028769,2111946.000000
32,49631431.892391,2247318.000000
8192,49342932.184749,2060668.000000
64,50789031.585424,2181035.000000
512,47128634.893324,2037251.000000
8,49025497.125520,2171177.000000
256,50813005.201749,2059915.000000
