frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
16384,250502.873363,250502.873363,250502.873363,250502.873363,250502.873363,250502.873363,250502.873363,210073.000000,210073.000000,210073.000000,210073.000000,210073.000000,210073.000000,210073.000000
4,198032.241314,198032.241314,198032.241314,198032.241314,198032.241314,198032.241314,198032.241314,65568.000000,65568.000000,65568.000000,65568.000000,65568.000000,65568.000000,65568.000000
8192,413004.356891,416227.618340,419824.149987,413004.356891,413004.356891,380739.095529,416227.618340,45702.000000,40205.000000,40205.000000,45702.000000,45702.000000,48902.000000,40205.000000
64,208853.303261,208853.303261,208853.303261,208853.303261,208853.303261,208853.303261,208853.303261,44917.000000,44917.000000,44917.000000,44917.000000,44917.000000,44917.000000,44917.000000
128,200387.234007,200387.234007,200387.234007,200387.234007,200387.234007,200387.234007,200387.234007,43747.000000,43747.000000,43747.000000,43747.000000,43747.000000,43747.000000,43747.000000
32768,8519.622057,8519.622057,8519.622057,8519.622057,8519.622057,8519.622057,8519.622057,4687.000000,4687.000000,4687.000000,4687.000000,4687.000000,4687.000000,4687.000000
32,229345.303673,229345.303673,229345.303673,229345.303673,229345.303673,229345.303673,229345.303673,46712.000000,46712.000000,46712.000000,46712.000000,46712.000000,46712.000000,46712.000000
16,182581.967902,182581.967902,182581.967902,182581.967902,182581.967902,182581.967902,182581.967902,45811.000000,45811.000000,45811.000000,45811.000000,45811.000000,45811.000000,45811.000000
1024,227131.360811,221315.838193,221315.838193,227131.360811,227131.360811,221315.838193,221315.838193,48121.000000,48121.000000,48121.000000,48121.000000,48121.000000,48121.000000,48121.000000
2048,445887.946771,345122.109066,345122.109066,345516.811080,445887.946771,345122.109066,345122.109066,31970.000000,45923.000000,45923.000000,45923.000000,31970.000000,45923.000000,45923.000000
512,294201.338804,294201.338804,294201.338804,294201.338804,294201.338804,294201.338804,294201.338804,57203.000000,57203.000000,57203.000000,57203.000000,57203.000000,57203.000000,57203.000000
65536,15624.326225,15624.326225,15624.326225,15624.326225,15624.326225,15624.326225,15624.326225,8907.000000,8907.000000,8907.000000,8907.000000,8907.000000,8907.000000,8907.000000
8,220564.523999,220564.523999,220564.523999,220564.523999,220564.523999,220564.523999,220564.523999,49542.000000,49542.000000,49542.000000,49542.000000,49542.000000,49542.000000,49542.000000
256,200134.138670,200134.138670,200134.138670,200134.138670,200134.138670,200134.138670,200134.138670,51646.000000,51646.000000,51646.000000,51646.000000,51646.000000,51646.000000,51646.000000
2,217423.427919,217423.427919,217423.427919,217423.427919,217423.427919,217423.427919,217423.427919,50762.000000,50762.000000,50762.000000,50762.000000,50762.000000,50762.000000,50762.000000
4096,329840.443725,324015.398082,308154.277285,323946.545009,329840.443725,308154.277285,308154.277285,49161.000000,49161.000000,55526.000000,49161.000000,49161.000000,55526.000000,55526.000000
