frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
128,171129.980033,35661.000000
1024,140335.411821,35947.000000
16384,163946.063283,58078.000000
16,195399.573175,47154.000000
256,87181.368296,32455.000000
2048,158697.745148,44457.000000
32768,332942.510467,73615.000000
2,149763.914946,36394.000000
32,193166.922541,45829.000000
4096,299619.622942,77183.000000
65536,72192.033072,36049.000000
512,215274.115683,45103.000000
4,189149.301336,50214.000000
8192,80017.957903,34183.000000
8,159851.645253,37897.000000
64,175633.132768,45400.000000
