frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
16,526180.190765,526180.190765,526180.190765,526180.190765,526180.190765,526180.190765
4096,664816.244116,664816.244116,664816.244116,664816.244116,664816.244116,664816.244116
256,734618.839346,734618.839346,734618.839346,734618.839346,734618.839346,734618.839346
65536,423918.532467,423918.532467,423918.532467,423918.532467,423918.532467,423918.532467
512,959920.144751,959920.144751,959920.144751,959920.144751,959920.144751,959920.144751
2,878803.094570,878803.094570,878803.094570,878803.094570,878803.094570,878803.094570
32,633562.535343,633562.535343,633562.535343,633562.535343,633562.535343,633562.535343
32768,905118.632730,905118.632730,905118.632730,905118.632730,905118.632730,905118.632730
4,780558.311429,780558.311429,780558.311429,780558.311429,780558.311429,780558.311429
64,922927.049591,922927.049591,922927.049591,922927.049591,922927.049591,922927.049591
8192,1383682.101115,1383682.101115,1383682.101115,1383682.101115,1383682.101115,1383682.101115
128,976345.525867,976345.525867,976345.525867,976345.525867,976345.525867,976345.525867
8,504654.947027,504654.947027,504654.947027,504654.947027,504654.947027,504654.947027
2048,1894610.493266,1894610.493266,1894610.493266,1894610.493266,1894610.493266,1894610.493266
16384,1617675.869468,1617675.869468,1617675.869468,1617675.869468,1617675.869468,1617675.869468
1024,1156764.178455,1156764.178455,1156764.178455,1156764.178455,1156764.178455,1156764.178455
