frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
8,578666.384174,578666.384174,578666.384174,578666.384174,578666.384174,578666.384174
2,305937.983725,305937.983725,305937.983725,305937.983725,305937.983725,305937.983725
16384,671747.001899,671747.001899,671747.001899,671747.001899,671747.001899,671747.001899
256,516836.628664,516836.628664,516836.628664,516836.628664,516836.628664,516836.628664
128,1064569.496014,1064569.496014,1064569.496014,1064569.496014,1064569.496014,1064569.496014
64,925470.510068,925470.510068,925470.510068,925470.510068,925470.510068,925470.510068
1024,946272.889243,946272.889243,946272.889243,946272.889243,946272.889243,946272.889243
32,830104.237859,830104.237859,830104.237859,830104.237859,830104.237859,830104.237859
16,1168895.682307,1168895.682307,1168895.682307,1168895.682307,1168895.682307,1168895.682307
8192,1392064.677681,1392064.677681,1392064.677681,1392064.677681,1392064.677681,1392064.677681
512,1329167.168843,1329167.168843,1329167.168843,1329167.168843,1329167.168843,1329167.168843
4,634272.872186,634272.872186,634272.872186,634272.872186,634272.872186,634272.872186
4096,1360098.698744,1360098.698744,1360098.698744,1360098.698744,1360098.698744,1360098.698744
2048,1327248.490179,1327248.490179,1327248.490179,1327248.490179,1327248.490179,1327248.490179
32768,3098398.753563,3098398.753563,3098398.753563,3098398.753563,3098398.753563,3098398.753563
65536,3553695.005299,3553695.005299,3553695.005299,3553695.005299,3553695.005299,3553695.005299
