frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
8,713220.171920,713220.171920,713220.171920,713220.171920,713220.171920,713220.171920
2,413160.330664,413160.330664,413160.330664,413160.330664,413160.330664,413160.330664
4,645591.864204,645591.864204,645591.864204,645591.864204,645591.864204,645591.864204
128,894165.641800,894165.641800,894165.641800,894165.641800,894165.641800,894165.641800
256,973507.149907,973507.149907,973507.149907,973507.149907,973507.149907,973507.149907
2048,953090.643189,953090.643189,953090.643189,953090.643189,953090.643189,953090.643189
512,1293730.590349,1293730.590349,1293730.590349,1293730.590349,1293730.590349,1293730.590349
16,718835.437831,718835.437831,718835.437831,718835.437831,718835.437831,718835.437831
1024,1026597.086121,1026597.086121,1026597.086121,1026597.086121,1026597.086121,1026597.086121
8192,657477.725446,657477.725446,657477.725446,657477.725446,657477.725446,657477.725446
64,961424.511857,961424.511857,961424.511857,961424.511857,961424.511857,961424.511857
32,999286.692580,999286.692580,999286.692580,999286.692580,999286.692580,999286.692580
4096,1315393.967910,1315393.967910,1315393.967910,1315393.967910,1315393.967910,1315393.967910
16384,1719697.638891,1719697.638891,1719697.638891,1719697.638891,1719697.638891,1719697.638891
65536,4135198.659270,4135198.659270,4135198.659270,4135198.659270,4135198.659270,4135198.659270
32768,1496141.293078,1496141.293078,1496141.293078,1496141.293078,1496141.293078,1496141.293078
