frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,3888673.583684,298458.000000,213302.398512
4,4133877.430674,286516.000000,601.552990
8,3163338.186325,304891.000000,57359.852746
16,8431637.678552,305461.000000,198269.552597
32,6393854.564042,303169.000000,268655.917314
64,7408248.871999,299936.000000,290920.540253
128,8388779.053741,303656.000000,199494.959390
256,6587248.931735,283195.000000,342369.950875
512,5494117.110037,279255.000000,618363.852846
1024,6873003.729833,286778.000000,1411612.577559
2048,6424316.889671,294447.000000,520303.793019
4096,9005817.760255,304863.000000,3101127.387259
8192,7677894.219874,302611.000000,1031590.381874
16384,11911381.526300,302170.000000,8412930.649133
32768,2880549.536910,125211.000000,1557956.633894
65536,5913990.800259,223345.000000,5117287.374683
