frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4662970.361095,288341.000000,0.000000
4,2898234.564585,273239.000000,0.000000
8,5841238.987952,302672.000000,0.000000
16,4620113.740343,302374.000000,0.000000
32,5000662.536239,294326.000000,0.000000
64,5275142.074814,308150.000000,0.000000
128,6583830.207950,306432.000000,0.000000
256,6056917.926665,298662.000000,0.000000
512,7701457.156367,305733.000000,0.000000
1024,9029946.492781,302273.000000,0.000000
2048,6980511.472427,298814.000000,0.000000
4096,8258562.586440,304710.000000,0.000000
8192,8028178.198859,296816.000000,0.000000
16384,5027423.097799,275299.000000,0.000000
32768,3170191.914095,144331.000000,0.000000
65536,300455.493406,35095.000000,0.000000
