frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,1134232.006760,94451.000000,0.000000
4,4609797.741982,299150.000000,0.000000
8,3245561.502482,275005.000000,0.000000
16,4110256.504592,300748.000000,0.000000
32,4647303.702429,273016.000000,0.000000
64,7861361.956390,301803.000000,0.000000
128,7633934.533604,302709.000000,0.000000
256,4397295.427499,302424.000000,0.000000
512,7281306.623250,302191.000000,0.000000
1024,1904640.849084,103725.000000,0.000000
2048,6238407.953515,269642.000000,0.000000
4096,8783002.048717,301753.000000,0.000000
8192,8428673.904016,296656.000000,0.000000
16384,6805467.363708,276371.000000,0.000000
32768,2759700.693526,132273.000000,0.000000
65536,10948814.844455,250312.000000,0.000000
