frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,3999108.115536,266359.000000,192128.574301
4,6294507.735829,297461.000000,202139.388025
8,5118921.787917,302284.000000,511.860333
16,6251843.193472,303382.000000,173739.031944
32,6631548.194395,272927.000000,22774.190128
64,8383894.995612,304980.000000,165014.113257
128,7156130.589638,302180.000000,295945.641255
256,8450360.332572,300778.000000,68030.691302
512,7150473.103217,303718.000000,384630.598965
1024,9247360.463936,302431.000000,1299066.750730
2048,9226398.811862,302417.000000,755187.103986
4096,5560864.419085,263740.000000,3172902.365284
8192,9106621.429643,266236.000000,5804301.899618
16384,10332024.574647,303598.000000,2817594.392118
32768,4938201.970616,240806.000000,3641416.416648
65536,8197282.729379,242833.000000,5089331.063441
