frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,5258184.399857,307189.000000,87.578536
4,5688943.013028,304052.000000,12455.760916
8,4823035.986576,296767.000000,221.047506
16,6104854.894595,300783.000000,80669.456797
32,5471180.959202,306804.000000,247.360061
64,6601249.410722,304394.000000,126990.880271
128,6690875.040275,300993.000000,371067.547099
256,5432972.470860,280368.000000,215494.886508
512,7259340.765473,299850.000000,1053733.130117
1024,5551245.268285,284614.000000,1558883.550017
2048,7538476.843760,300949.000000,1086284.163391
4096,6437871.570493,304034.000000,1035281.809474
8192,6704129.437941,306364.000000,1539855.522455
16384,4239680.537458,225917.000000,1578748.094101
32768,3784234.033264,153112.000000,2680460.993558
65536,3220805.536077,141066.000000,3088750.180634
