frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,5463329.710678,302734.000000,160.530371
4,5469923.095779,297869.000000,72.753007
8,6101188.609179,281969.000000,492.427660
16,7333611.486170,293420.000000,416675.087225
32,6072696.077186,305473.000000,267908.092058
64,7378619.925418,304879.000000,98113.405960
128,7516658.295715,294504.000000,739361.804826
256,7747843.699261,292134.000000,813993.136963
512,8944571.672721,301933.000000,708885.407352
1024,4996024.546567,301360.000000,978328.970855
2048,7481075.899281,297121.000000,886478.488627
4096,3032499.892369,161224.000000,1159509.097808
8192,3625542.511086,139405.000000,2107988.167057
16384,5072653.144809,242595.000000,1349319.597456
32768,9673525.203996,295520.000000,7497776.703946
65536,7642935.783241,249206.000000,4471797.283350
