frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,1989999.489261,280440.000000,0.000000
4,2479741.616936,199515.000000,0.000000
8,4299276.478184,284716.000000,0.000000
16,4928153.937585,289720.000000,0.000000
32,3417497.405913,289646.000000,0.000000
64,7740826.481335,305708.000000,0.000000
128,7562491.769789,301513.000000,0.000000
256,6726723.714824,301963.000000,0.000000
512,6691576.020495,301815.000000,0.000000
1024,6698644.448523,303840.000000,0.000000
2048,8004002.256996,306535.000000,0.000000
4096,4736884.594773,215600.000000,0.000000
8192,4892286.110530,275714.000000,0.000000
16384,2543584.729298,108406.000000,0.000000
32768,2491015.106830,120405.000000,0.000000
65536,8355442.021528,305142.000000,0.000000
