frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,464323.164846,7148.000000,15064.374033
4,605924.633568,9401.000000,22741.710820
8,575837.679685,10168.000000,7973.818157
16,427626.476411,9433.000000,12874.348954
32,524471.513842,10159.000000,2965.333708
64,1226651.863152,20686.000000,84724.779362
128,1224536.108305,20309.000000,85408.814896
256,1308569.051093,23059.000000,120443.062826
512,1513238.866569,25030.000000,73044.180446
1024,1053747.522417,19130.000000,27684.926332
2048,634333.913792,15074.000000,21174.132214
4096,1370940.224784,19500.000000,157663.269232
8192,1001817.907322,19878.000000,155913.953195
16384,1967802.420939,36268.000000,197286.395111
32768,3121540.799249,47580.000000,834417.939390
65536,2164310.578259,37445.000000,1141419.512249
