frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,401237.007049,9393.000000,3396.044905
4,562653.733687,10719.000000,11959.826629
8,650965.944913,11881.000000,14140.298052
16,603521.689817,9620.000000,19504.925070
32,749051.531129,12234.000000,11650.738303
64,781172.630132,13778.000000,39638.007543
128,966922.864395,16375.000000,53371.082948
256,1180093.532566,21232.000000,29177.519566
512,1016465.572404,15615.000000,104309.886713
1024,1463558.641908,27426.000000,358321.960967
2048,755948.573593,18925.000000,237567.354251
4096,676725.013322,13278.000000,72531.438749
8192,1762834.298548,28076.000000,190217.739223
16384,1039091.101743,21203.000000,457792.614087
32768,1687367.493083,31059.000000,976163.997149
65536,2332674.221978,34412.000000,904025.955541
