frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,688139.636028,11716.000000,2163.536457
4,197966.876762,3687.000000,6068.176662
8,506992.633795,9635.000000,1309.464394
16,388157.623687,6828.000000,9903.084772
32,1241580.186433,17745.000000,40897.112624
64,949945.786527,16902.000000,79909.165751
128,996036.692750,19531.000000,10616.556268
256,1000532.523970,17080.000000,147276.308414
512,1012999.662103,18529.000000,119319.044591
1024,1453219.585357,23762.000000,48718.589994
2048,1081182.546425,22223.000000,46554.052917
4096,1185584.134898,16395.000000,197260.613983
8192,1978242.556901,35480.000000,752389.006311
16384,1521082.460592,21676.000000,319215.629321
32768,1019247.959384,23959.000000,150418.726151
65536,3559083.383022,54298.000000,1673313.268960
