frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,115771.542142,2806.000000,1851.666547
4,276040.212161,4700.000000,7185.495042
8,733866.164123,12496.000000,23081.893293
16,556425.195965,10025.000000,9229.800540
32,874491.426762,14842.000000,11622.381167
64,662279.681955,12529.000000,34723.070875
128,1506049.891451,26742.000000,81785.727037
256,897373.549363,14447.000000,66100.208033
512,531345.804507,8627.000000,81807.278570
1024,1080925.785350,19138.000000,152143.484422
2048,1156779.455044,17238.000000,131513.169553
4096,1866660.976151,31453.000000,376916.189249
8192,1986686.994901,37970.000000,925678.525975
16384,1211195.754509,24890.000000,370918.466864
32768,1027274.201015,23464.000000,672297.248937
65536,5082481.120028,78372.000000,3147611.895776
