frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,502368.917386,9459.000000,2766.817847
4,195827.179161,4746.000000,247.523736
8,716364.614049,11504.000000,12999.035887
16,618431.179814,9820.000000,5523.191016
32,881223.515061,17867.000000,13894.495997
64,1075250.288377,20040.000000,18406.554104
128,1428765.997296,23169.000000,128754.744782
256,1106235.268701,20428.000000,43928.271523
512,442411.134945,8229.000000,43962.013660
1024,1370428.634792,19778.000000,70996.345575
2048,841250.273199,13074.000000,177347.954837
4096,307600.818916,7960.000000,27966.054888
8192,1115666.801836,22370.000000,94260.596805
16384,924574.468091,14497.000000,354361.805144
32768,884937.688579,17091.000000,374740.636574
65536,991633.667860,16075.000000,0.000000
