frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,201435.849322,58615.000000,0.000000
4,341405.088490,138156.000000,0.000000
8,485218.542996,169878.000000,0.000000
16,441614.542047,157045.000000,0.000000
32,449427.587730,101192.000000,0.000000
64,545000.751026,211318.000000,0.000000
128,502082.286518,204432.000000,0.000000
256,766392.563783,287295.000000,0.000000
512,1475009.369545,274976.000000,0.000000
1024,993991.168100,269622.000000,0.000000
2048,1725045.728467,270055.000000,0.000000
4096,694862.299750,129156.000000,0.000000
8192,1002173.152190,137086.000000,0.000000
16384,1780857.668199,302242.000000,0.000000
32768,523588.290495,55784.000000,0.000000
65536,2050256.108531,221886.000000,0.000000
