frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,236172.437846,125008.000000,0.000000
4,340847.003500,146910.000000,0.000000
8,272388.551417,79369.000000,0.000000
16,173730.690668,60125.000000,0.000000
32,372931.306869,135905.000000,0.000000
64,229462.326383,62925.000000,0.000000
128,375669.547958,114613.000000,0.000000
256,534576.110519,176814.000000,0.000000
512,508419.324887,154659.000000,0.000000
1024,497621.853374,198273.000000,0.000000
2048,323949.854513,101198.000000,0.000000
4096,421161.073442,152145.000000,0.000000
8192,1154549.282005,208222.000000,0.000000
16384,162781.216045,33963.000000,0.000000
32768,862238.918955,244314.000000,0.000000
65536,495192.194217,120338.000000,0.000000
