frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,182627.611026,123607.000000,0.000000
4,179791.166902,74045.000000,0.000000
8,124898.243623,43867.000000,0.000000
16,153502.259856,58135.000000,0.000000
32,460051.781937,290868.000000,0.000000
64,337421.595173,162724.000000,0.000000
128,104681.258690,51014.000000,0.000000
256,98283.106407,38675.000000,0.000000
512,417503.716583,224699.000000,0.000000
1024,355520.175098,110445.000000,0.000000
2048,673439.743601,252690.000000,0.000000
4096,452448.793720,264256.000000,0.000000
8192,401756.779085,198389.000000,0.000000
16384,442975.781490,120618.000000,0.000000
32768,416627.477304,192577.000000,0.000000
65536,778369.014392,252573.000000,0.000000
