frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,269844.608627,90233.000000,0.000000
4,202250.574558,101979.000000,0.000000
8,608570.120852,255253.000000,0.000000
16,596190.651749,231878.000000,0.000000
32,148871.406214,44074.000000,0.000000
64,193285.147619,63095.000000,0.000000
128,422216.950992,153970.000000,0.000000
256,661764.594864,209865.000000,0.000000
512,373646.141894,145908.000000,0.000000
1024,866940.717617,262715.000000,0.000000
2048,728613.940385,217860.000000,0.000000
4096,639357.355586,233285.000000,0.000000
8192,577296.487040,219350.000000,0.000000
16384,487468.251989,89685.000000,0.000000
32768,871035.217022,204230.000000,0.000000
65536,567956.819712,164076.000000,0.000000
