frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,395296.693552,141991.000000,76.811457
4,1309531.499074,219247.000000,812.000000
8,431099.156208,146700.000000,888.718741
16,265517.097348,146567.000000,3128.482060
32,212028.890687,82470.000000,278.327146
64,370278.515021,132898.000000,5504.156429
128,965745.892934,154775.000000,22134.433040
256,272606.076565,186203.000000,14510.111302
512,396901.747790,205873.000000,1519.474580
1024,605192.250497,186834.000000,48066.314057
2048,282530.121490,38529.000000,47669.373889
4096,416860.688757,61403.000000,46971.371717
8192,393455.818534,149052.000000,155892.741326
16384,603842.802558,126150.000000,69564.977949
32768,643260.784186,85499.000000,421743.154179
65536,529214.362184,279523.000000,410727.052374
