frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1162710.286471,240276.000000,318.708331
4,241046.802881,112555.000000,64.699304
8,1010245.666066,211975.000000,77.084369
16,492927.798083,171578.000000,124.450793
32,192252.597613,83617.000000,9890.199492
64,651896.463759,150151.000000,4511.626203
128,326161.324844,68029.000000,2112.986039
256,1571402.656324,242605.000000,128463.033224
512,163390.966213,51740.000000,39925.769272
1024,324244.811178,134446.000000,22815.102104
2048,343550.042490,55340.000000,147125.483364
4096,868531.331125,78143.000000,86556.630283
8192,867784.411663,283340.000000,518496.722932
16384,511847.194246,245307.000000,354533.207941
32768,1050634.016070,144245.000000,973146.158348
65536,2748206.361853,215037.000000,2694866.547274
