frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,269758.398692,4766.000000,2714.616179
4,456953.475681,7065.000000,6625.910277
8,271889.944428,5728.000000,5056.069422
16,627795.447831,9059.000000,18384.458056
32,407924.626224,9998.000000,7533.867134
64,981656.541492,15946.000000,27453.054967
128,853641.984201,14747.000000,85352.857293
256,1165087.819984,16763.000000,77590.820875
512,823249.863393,15847.000000,12614.563330
1024,1485374.644736,25388.000000,179274.954185
2048,1098928.517709,19234.000000,111548.592999
4096,1277650.453468,23703.000000,489303.286408
8192,1720248.141878,30373.000000,31864.117939
16384,595507.237887,9953.000000,72067.133293
32768,1539848.654354,31266.000000,451691.435580
65536,1975436.686844,36467.000000,1562318.478694
