frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,586491.394701,9524.000000,14868.262979
4,932037.953495,16562.000000,9778.058805
8,297465.829617,5755.000000,8028.058109
16,613006.581636,10777.000000,26426.982329
32,966812.693244,16510.000000,14527.658036
64,750735.227867,13757.000000,67413.352453
128,1361778.871251,22953.000000,125315.561619
256,814200.940900,17266.000000,89673.037458
512,780089.180213,15454.000000,86494.260943
1024,603730.983502,11559.000000,69932.109656
2048,324544.821284,6829.000000,39768.745894
4096,623067.506469,16181.000000,93701.301480
8192,1944347.599203,32961.000000,214472.487271
16384,2448654.500983,43152.000000,1589067.908295
32768,2783015.429962,40402.000000,1227766.480965
65536,2039259.102748,33296.000000,602386.485179
