frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,571192.713357,10653.000000,15064.856953
4,324863.748525,6243.000000,1178.477408
8,582023.649436,9922.000000,5209.487019
16,325140.370128,5599.000000,13989.162305
32,414616.850440,7539.000000,5575.739413
64,970017.938742,16883.000000,12903.404318
128,1039613.444385,16998.000000,38594.625209
256,1099068.525669,18296.000000,2787.515022
512,1300177.366520,20934.000000,131501.390635
1024,1246707.500131,20272.000000,235888.947157
2048,1225407.602166,23229.000000,350682.002070
4096,1153704.197083,21855.000000,457145.025439
8192,553503.557339,12169.000000,273820.709045
16384,2309073.700801,43236.000000,1447194.383193
32768,2282680.374241,44564.000000,1698280.794527
65536,3823945.811588,66681.000000,3131635.641281
