frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,406175.194012,7716.000000,4832.563916
4,353557.223129,6483.000000,7850.527944
8,574429.893211,9843.000000,19030.777756
16,107391.680991,2664.000000,1339.815659
32,722580.662602,12712.000000,4929.870688
64,631837.612281,12320.000000,53116.346392
128,1166565.551471,20581.000000,16146.703193
256,1101607.024689,19464.000000,34114.227399
512,1146199.602280,22249.000000,30400.133881
1024,1537685.805021,25750.000000,76230.953628
2048,293357.596375,7277.000000,100640.406304
4096,1053946.885597,18339.000000,372475.842952
8192,564778.697621,10901.000000,109562.743576
16384,692100.008701,11494.000000,209029.804767
32768,1961057.273297,31334.000000,1078988.534187
65536,1344909.100286,23995.000000,863240.948868
