frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,455646.169355,7120.000000,2709.617685
4,655575.251398,9328.000000,3633.894605
8,473772.730017,9252.000000,16348.987216
16,896384.992483,18179.000000,21935.403324
32,853660.064152,16411.000000,52502.363680
64,1037025.231995,17781.000000,15748.976411
128,1333842.925216,24133.000000,82867.982629
256,1236520.939139,20010.000000,48103.866290
512,952860.192526,17434.000000,5445.489051
1024,882651.029322,13460.000000,24712.179507
2048,972717.795339,15265.000000,169001.364764
4096,1046027.390295,22649.000000,295509.924791
8192,1193481.689851,23207.000000,169116.479312
16384,627187.110722,15050.000000,124757.664486
32768,2126985.720746,26475.000000,468094.486705
65536,2364596.638681,42722.000000,432702.214207
