arrival_time,first_executed_time,job_size
26,26,29
57,57,26
82,83,12
102,102,10
127,127,9
152,152,22
182,182,19
206,206,8
225,225,72
247,247,9
263,263,10
283,283,9
313,313,9
339,339,10
365,365,11
391,391,11
418,418,177
441,441,14
461,461,9
482,482,8
500,500,90
533,533,9
550,550,35
575,585,31
604,616,17
660,660,20
684,702,25
709,727,24
744,751,10
726,761,34
765,765,21
811,816,10
790,826,52
835,835,8
876,886,17
901,903,15
857,918,50
922,922,33
936,936,9
957,964,10
992,992,11
1017,1031,15
1039,1046,19
1065,1065,12
1089,1089,13
1117,1117,12
1143,1143,36
1165,1179,73
1183,1183,21
1215,1215,15
1236,1236,18
1266,1266,14
1282,1282,8
1308,1308,15
1341,1343,13
1366,1366,9
1390,1390,11
1419,1419,12
1472,1473,17
1449,1490,40
1518,1530,14
1542,1544,8
1496,1552,52
1561,1561,10
1586,1586,13
1613,1613,11
1632,1638,9
629,1647,441
1655,1655,12
1680,1680,12
1701,1701,11
1726,1726,9
1753,1753,90
1780,1780,32
1792,1812,37
1842,1849,8
1816,1857,52
1870,1870,9
1897,1897,14
1951,1951,29
1976,1980,8
2025,2032,8
2007,2040,38
2061,2061,9
2080,2087,13
1927,2100,86
2106,2106,8
2133,2133,11
2151,2151,23
2173,2174,19
2198,2198,8
2222,2222,18
2261,2261,8
2282,2282,40
2313,2322,42
2332,2332,9
2350,2373,26
2381,2381,16
2408,2415,8
2437,2437,11
2457,2457,62
2482,2482,21
2539,2540,17
2515,2557,35
2561,2561,26
2614,2618,36
2638,2654,60
2665,2665,40
2696,2705,10
2730,2730,19
2756,2756,8
2588,2791,235
2804,2804,8
2828,2828,12
2846,2846,17
2877,2877,36
2898,2913,49
2931,2931,10
2960,2972,12
2976,2984,8
3007,3007,12
3029,3029,12
3047,3047,31
3067,3078,30
3088,3088,9
3107,3117,66
3123,3123,27
3161,3161,11
3211,3221,10
3187,3231,43
3260,3274,52
3286,3286,12
3310,3310,20
3337,3337,20
3371,3378,10
3234,3388,69
3394,3394,31
3417,3425,10
3437,3437,18
3458,3458,21
3470,3479,10
3500,3500,8
3522,3522,10
3546,3546,13
3572,3578,10
3593,3593,12
3617,3617,15
3636,3636,21
3661,3661,35
3688,3696,8
3708,3708,8
3735,3735,11
3755,3755,19
3772,3774,10
3800,3800,19
3819,3819,9
3843,3843,8
3865,3865,12
3895,3895,8
3914,3914,8
3933,3946,15
3956,3961,10
2783,3971,308
3980,3980,9
4005,4005,20
4025,4025,14
4056,4056,17
4083,4083,21
4109,4109,9
4131,4131,121
4149,4149,8
4168,4168,9
4187,4187,23
4215,4215,11
4243,4243,23
4261,4266,13
4284,4284,15
4304,4304,21
4323,4325,8
4347,4347,16
4373,4373,8
4398,4407,13
4421,4421,47
4442,4442,8
4465,4465,8
4490,4490,10
4510,4510,37
4535,4535,10
4561,4561,15
4583,4583,63
4610,4610,12
4628,4628,15
4654,4654,13
4667,4667,12
4696,4698,20
4714,4718,9
4727,4727,20
4756,4756,9
4770,4770,27
4797,4797,9
4827,4827,8
4854,4854,11
4885,4885,69
4912,4912,14
4937,4937,8
4964,4964,9
4988,4988,15
5017,5017,10
5040,5040,11
5069,5069,14
5100,5100,26
5125,5126,15
5149,5149,9
5199,5199,11
5219,5232,31
5251,5263,26
5272,5289,68
5297,5297,23
5313,5320,18
5333,5338,16
5414,5414,8
5389,5422,42
5435,5435,13
5459,5459,16
5478,5493,15
5505,5508,48
5527,5527,9
5547,5547,9
