checkpoint,arrival_rate,bp_parameter,rmlf_ratio,fcfs_ratio
64,20,"{'L': 16.772, 'H': 64}",1.1,98.9
64,20,"{'L': 4.073, 'H': 262144}",97.7,2.3
64,20,"{'L': 4.639, 'H': 32768}",98.5,1.5
64,20,"{'L': 5.649, 'H': 4096}",98.1,1.9
64,20,"{'L': 7.918, 'H': 512}",9.2,90.8
64,22,"{'L': 16.772, 'H': 64}",1.1,98.9
64,22,"{'L': 4.073, 'H': 262144}",95.3,4.7
64,22,"{'L': 4.639, 'H': 32768}",97.2,2.8
64,22,"{'L': 5.649, 'H': 4096}",97.9,2.1
64,22,"{'L': 7.918, 'H': 512}",9.9,90.1
64,24,"{'L': 16.772, 'H': 64}",1.1,98.9
64,24,"{'L': 4.073, 'H': 262144}",97.9,2.1
64,24,"{'L': 4.639, 'H': 32768}",86.8,13.2
64,24,"{'L': 5.649, 'H': 4096}",98.4,1.6
64,24,"{'L': 7.918, 'H': 512}",3.0,97.0
64,26,"{'L': 16.772, 'H': 64}",1.1,98.9
64,26,"{'L': 4.073, 'H': 262144}",98.8,1.2
64,26,"{'L': 4.639, 'H': 32768}",98.0,2.0
64,26,"{'L': 5.649, 'H': 4096}",96.7,3.3
64,26,"{'L': 7.918, 'H': 512}",13.7,86.3
64,28,"{'L': 16.772, 'H': 64}",0.9,99.1
64,28,"{'L': 4.073, 'H': 262144}",99.2,0.8
64,28,"{'L': 4.639, 'H': 32768}",98.4,1.6
64,28,"{'L': 5.649, 'H': 4096}",94.7,5.3
64,28,"{'L': 7.918, 'H': 512}",4.2,95.8
64,30,"{'L': 16.772, 'H': 64}",0.4,99.6
64,30,"{'L': 4.073, 'H': 262144}",98.8,1.2
64,30,"{'L': 4.639, 'H': 32768}",99.1,0.9
64,30,"{'L': 5.649, 'H': 4096}",97.6,2.4
64,30,"{'L': 7.918, 'H': 512}",2.4,97.6
64,32,"{'L': 16.772, 'H': 64}",0.3,99.7
64,32,"{'L': 4.073, 'H': 262144}",94.3,5.7
64,32,"{'L': 4.639, 'H': 32768}",99.3,0.7
64,32,"{'L': 5.649, 'H': 4096}",92.4,7.6
64,32,"{'L': 7.918, 'H': 512}",19.4,80.6
64,34,"{'L': 16.772, 'H': 64}",0.2,99.8
64,34,"{'L': 4.073, 'H': 262144}",98.5,1.5
64,34,"{'L': 4.639, 'H': 32768}",90.1,9.9
64,34,"{'L': 5.649, 'H': 4096}",98.7,1.3
64,34,"{'L': 7.918, 'H': 512}",87.9,12.1
64,36,"{'L': 16.772, 'H': 64}",0.2,99.8
64,36,"{'L': 4.073, 'H': 262144}",96.7,3.3
64,36,"{'L': 4.639, 'H': 32768}",94.7,5.3
64,36,"{'L': 5.649, 'H': 4096}",99.1,0.9
64,36,"{'L': 7.918, 'H': 512}",91.6,8.4
64,38,"{'L': 16.772, 'H': 64}",0.1,99.9
64,38,"{'L': 4.073, 'H': 262144}",87.5,12.5
64,38,"{'L': 4.639, 'H': 32768}",80.2,19.8
64,38,"{'L': 5.649, 'H': 4096}",97.0,3.0
64,38,"{'L': 7.918, 'H': 512}",56.2,43.8
64,40,"{'L': 16.772, 'H': 64}",0.2,99.8
64,40,"{'L': 4.073, 'H': 262144}",97.9,2.1
64,40,"{'L': 4.639, 'H': 32768}",98.7,1.3
64,40,"{'L': 5.649, 'H': 4096}",97.8,2.2
64,40,"{'L': 7.918, 'H': 512}",57.4,42.6
