arrival_time,first_executed_time,job_size
9833,11621,58
9849,11679,14
9868,11693,206
9897,11899,8
9929,11907,26
9942,11933,9
9963,11942,8
9984,11950,13
10012,11963,8
10037,11971,12
10062,11983,14
10089,11997,8
10110,12005,11
10129,12016,9
10154,12025,21
10175,12046,8
10199,12054,176
10237,12230,8
10261,12238,36
10276,12274,11
10300,12285,19
10325,12304,35
10351,12339,14
10372,12353,9
10403,12362,9
10427,12371,96
10445,12467,9
10471,12476,8
10497,12484,170
10529,12654,42
10553,12696,16
10585,12712,9
10617,12721,80
10642,12801,10
10669,12811,8
10692,12819,11
10716,12830,21
10745,12851,27
10773,12878,8
10794,12886,26
10817,12912,10
10841,12922,17
10870,12939,22
10888,12961,73
10908,13034,24
10929,13058,10
10951,13068,24
10976,13092,23
11003,13115,26
11029,13141,17
11051,13158,8
11078,13166,14
11097,13180,8
11121,13188,10
11140,13198,8
11165,13206,10
11180,13216,8
11202,13224,13
11228,13237,15
11243,13252,78
11269,13330,23
11298,13353,10
11321,13363,16
11342,13379,39
11359,13418,16
11379,13434,26
11413,13460,8
11432,13468,8
11463,13476,9
11485,13485,11
11511,13496,12
11536,13508,9
11562,13517,17
11585,13534,8
11614,13542,203
11633,13745,8
11660,13753,20
11682,13773,8
11708,13781,18
11738,13799,331
11757,14130,9
11782,14139,31
11798,14170,16
11827,14186,9
11855,14195,35
11872,14230,14
11904,14244,34
11931,14278,11
11949,14289,8
11964,14297,66
11984,14363,8
11998,14371,18
12023,14389,9
12045,14398,11
12063,14409,17
12089,14426,50
12109,14476,11
12131,14487,11
12159,14498,82
12179,14580,10
12196,14590,37
12218,14627,137
12234,14764,73
12258,14837,20
12276,14857,15
12297,14872,8
12321,14880,27
12345,14907,9
12360,14916,8
12381,14924,17
12409,14941,72
12427,15013,16
12452,15029,9
12466,15038,8
12493,15046,23
12516,15069,13
12531,15082,9
12551,15091,9
12574,15100,12
12601,15112,8
12619,15120,21
12628,15141,19
12650,15160,19
12669,15179,20
12691,15199,13
12712,15212,8
12739,15220,9
12758,15229,8
12788,15237,23
12815,15260,8
12845,15268,15
12866,15283,13
12902,15296,11
12924,15307,18
12956,15325,77
12983,15402,19
13014,15421,11
13032,15432,22
13059,15454,8
13088,15462,10
13111,15472,9
13140,15481,8
13156,15489,52
13178,15541,12
13205,15553,10
13231,15563,9
13251,15572,58
13283,15630,496
13301,16126,13
13328,16139,10
13352,16149,12
13375,16161,12
13399,16173,17
13418,16190,13
13436,16203,10
13464,16213,11
13484,16224,8
13508,16232,22
13539,16254,10
13567,16264,17
13583,16281,9
13604,16290,17
13631,16307,11
13651,16318,32
13679,16350,11
13702,16361,8
13717,16369,23
13748,16392,10
13764,16402,23
13787,16425,9
13812,16434,12
13834,16446,8
13864,16454,76
13884,16530,59
13909,16589,8
13931,16597,11
13954,16608,12
13977,16620,56
14001,16676,18
14029,16694,59
14052,16753,18
14073,16771,12
14091,16783,20
14117,16803,14
14143,16817,8
14172,16825,8
14196,16833,25
14225,16858,8
14244,16866,9
14263,16875,12
14286,16887,10
14310,16897,14
14331,16911,8
14362,16919,23
14392,16942,9
14417,16951,77
14441,17028,41
14469,17069,21
14504,17090,20
14520,17110,22
14551,17132,58
14573,17190,26
14587,17216,12
14619,17228,18
14645,17246,9
14663,17255,19
14691,17274,11
14718,17285,168
14741,17453,16
14768,17469,8
14794,17477,148
14814,17625,10
14845,17635,13
14872,17648,19
14893,17667,9
14917,17676,9
14939,17685,9
14956,17694,23
14980,17717,15
15001,17732,9
15022,17741,8
15049,17749,33
15068,17782,8
15085,17790,10
15101,17800,17
15123,17817,11
15143,17828,39
15168,17867,23
15196,17890,13
15230,17903,31
15254,17934,50
15277,17984,9
15289,17993,23
15306,18016,14
15331,18030,8
15363,18038,111
15391,18149,9
15406,18158,9
15428,18167,10
15453,18177,10
15469,18187,9
15500,18196,11
15523,18207,18
15549,18225,15
15576,18240,10
15602,18250,13
15628,18263,292
15650,18555,18
15673,18573,8
15710,18581,30
15730,18611,39
15752,18650,15
15777,18665,9
15801,18674,480
15830,19154,83
15856,19237,13
15884,19250,8
15905,19258,12
15927,19270,9
15942,19279,38
15966,19317,12
15983,19329,17
15998,19346,9
16020,19355,11
16046,19366,9
16076,19375,26
16102,19401,14
16130,19415,21
16149,19436,28
16171,19464,18
16191,19482,8
16211,19490,13
16235,19503,9
16257,19512,9
16276,19521,12
16294,19533,13
16321,19546,19
16349,19565,9
16363,19574,27
16388,19601,17
16409,19618,16
16440,19634,21
16460,19655,20
16489,19675,20
16520,19695,84
16555,19779,22
16583,19801,15
16611,19816,11
16634,19827,13
16655,19840,25
16672,19865,16
16696,19881,8
16717,19889,17
16750,19906,14
16776,19920,8
16799,19928,8
16823,19936,11
16846,19947,12
16880,19959,45
16903,20004,24
16928,20028,8
16953,20036,50
16975,20086,11
16991,20097,55
17014,20152,11
17038,20163,11
17062,20174,17
17081,20191,50
17096,20241,62
17123,20303,21
17149,20324,12
17166,20336,13
17186,20349,56
17214,20405,39
17237,20444,60
17257,20504,39
17280,20543,19
17302,20562,119
17325,20681,8
17350,20689,82
17364,20771,37
17391,20808,12
17419,20820,15
17441,20835,8
17464,20843,128
17492,20971,9
17504,20980,99
17529,21079,10
17555,21089,13
17569,21102,9
17599,21111,12
17618,21123,8
17639,21131,16
17663,21147,15
17683,21162,9
17700,21171,15
17724,21186,28
17751,21214,15
17783,21229,15
17805,21244,104
17841,21348,9
17867,21357,11
17888,21368,8
17904,21376,14
17929,21390,11
17954,21401,11
17975,21412,14
18002,21426,10
18020,21436,18
18036,21454,35
18069,21489,12
18093,21501,20
18125,21521,8
18153,21529,39
18177,21568,12
18197,21580,12
18223,21592,11
18246,21603,8
18268,21611,77
18283,21688,13
18304,21701,24
18326,21725,9
18352,21734,14
18385,21748,11
18412,21759,11
18433,21770,8
18465,21778,10
18481,21788,13
18510,21801,9
18537,21810,15
18565,21825,11
18584,21836,22
18605,21858,10
18633,21868,12
18660,21880,111
18681,21991,28
18703,22019,254
