checkpoint,arrival_rate,bp_parameter,rmlf_ratio,fcfs_ratio
8,20,"{'L': 16.772, 'H': 64}",2.111801242236025,97.88819875776397
8,20,"{'L': 7.918, 'H': 512}",6.889225216834507,93.1107747831655
8,20,"{'L': 5.649, 'H': 4096}",94.56420142540016,5.435798574599836
8,20,"{'L': 4.639, 'H': 32768}",96.91981878133126,3.08018121866874
8,20,"{'L': 4.073, 'H': 262144}",94.68283287550125,5.317167124498753
8,22,"{'L': 16.772, 'H': 64}",2.1143810189917684,97.88561898100822
8,22,"{'L': 7.918, 'H': 512}",6.196829945374764,93.80317005462524
8,22,"{'L': 5.649, 'H': 4096}",96.97205666536884,3.027943334631166
8,22,"{'L': 4.639, 'H': 32768}",97.20160481444333,2.79839518555667
8,22,"{'L': 4.073, 'H': 262144}",91.66745305275079,8.332546947249222
8,24,"{'L': 16.772, 'H': 64}",2.03905491423023,97.96094508576977
8,24,"{'L': 7.918, 'H': 512}",4.9658449658449655,95.03415503415503
8,24,"{'L': 5.649, 'H': 4096}",91.73713527085918,8.262864729140812
8,24,"{'L': 4.639, 'H': 32768}",95.28679026651217,4.713209733487833
8,24,"{'L': 4.073, 'H': 262144}",97.85172435774847,2.148275642251546
8,26,"{'L': 16.772, 'H': 64}",1.8727809849039219,98.12721901509607
8,26,"{'L': 7.918, 'H': 512}",9.773159666325187,90.22684033367482
8,26,"{'L': 5.649, 'H': 4096}",91.96635730858469,8.033642691415313
8,26,"{'L': 4.639, 'H': 32768}",98.04378061317045,1.9562193868295337
8,26,"{'L': 4.073, 'H': 262144}",79.94154183412495,20.058458165875045
8,28,"{'L': 16.772, 'H': 64}",1.5638951270326578,98.43610487296735
8,28,"{'L': 7.918, 'H': 512}",8.969779440948008,91.03022055905198
8,28,"{'L': 5.649, 'H': 4096}",88.07226000698944,11.927739993010565
8,28,"{'L': 4.639, 'H': 32768}",97.54916584436745,2.450834155632559
8,28,"{'L': 4.073, 'H': 262144}",98.35374773476562,1.6462522652343836
8,30,"{'L': 16.772, 'H': 64}",0.5252567486345938,99.47474325136541
8,30,"{'L': 7.918, 'H': 512}",1.6401350699469366,98.35986493005306
8,30,"{'L': 5.649, 'H': 4096}",98.71261583824769,1.2873841617523167
8,30,"{'L': 4.639, 'H': 32768}",98.28482607064373,1.715173929356274
8,30,"{'L': 4.073, 'H': 262144}",98.18031871026098,1.8196812897390193
8,32,"{'L': 16.772, 'H': 64}",0.2372718782340914,99.7627281217659
8,32,"{'L': 7.918, 'H': 512}",4.005463123913584,95.99453687608641
8,32,"{'L': 5.649, 'H': 4096}",93.3817594834544,6.618240516545601
8,32,"{'L': 4.639, 'H': 32768}",99.02235335300294,0.9776466469970496
8,32,"{'L': 4.073, 'H': 262144}",95.64696410851697,4.353035891483028
8,34,"{'L': 16.772, 'H': 64}",0.18315018315018314,99.81684981684981
8,34,"{'L': 7.918, 'H': 512}",97.93714555765595,2.0628544423440456
8,34,"{'L': 5.649, 'H': 4096}",93.07598613323339,6.9240138667666065
8,34,"{'L': 4.639, 'H': 32768}",95.79311767807607,4.206882321923932
8,34,"{'L': 4.073, 'H': 262144}",92.4805080929924,7.519491907007607
8,36,"{'L': 16.772, 'H': 64}",0.15843616807622787,99.84156383192378
8,36,"{'L': 7.918, 'H': 512}",9.416283665267878,90.58371633473212
8,36,"{'L': 5.649, 'H': 4096}",98.9907335045216,1.0092664954783968
8,36,"{'L': 4.639, 'H': 32768}",94.0722104519774,5.927789548022599
8,36,"{'L': 4.073, 'H': 262144}",96.26487016586364,3.735129834136358
8,38,"{'L': 16.772, 'H': 64}",0.12071010843097672,99.87928989156902
8,38,"{'L': 7.918, 'H': 512}",84.41013912712026,15.58986087287974
8,38,"{'L': 5.649, 'H': 4096}",94.239181212044,5.760818787956003
8,38,"{'L': 4.639, 'H': 32768}",98.62593157181571,1.3740684281842819
8,38,"{'L': 4.073, 'H': 262144}",97.09280354154295,2.907196458457053
8,40,"{'L': 16.772, 'H': 64}",0.184498144991477,99.81550185500852
8,40,"{'L': 7.918, 'H': 512}",91.21382554453422,8.786174455465794
8,40,"{'L': 5.649, 'H': 4096}",97.59180389001197,2.408196109988028
8,40,"{'L': 4.639, 'H': 32768}",95.81486952240276,4.185130477597243
8,40,"{'L': 4.073, 'H': 262144}",95.88199017247896,4.118009827521037
