arrival_rate,bp_parameter,c,RDYNAMIC_L2_Norm/SRPT_L2_Norm,RDYNAMIC_L2_Norm/FCFS_L2_Norm,RDYNAMIC_L2_Norm/SETF_L2_Norm,RDYNAMIC_L2_Norm/RR_L2_Norm,RDYNAMIC_L2_Norm/RMLF_L2_Norm
20,"{'L': 16.772, 'H': 64}",64,0.8473238385274556,1.0030064738451006,0.45366585277756033,0.3382823853969483,0.476233544027012
20,"{'L': 7.918, 'H': 512}",64,1.7563582916918479,0.9349058624317336,0.9954523533491451,0.2509436128335525,1.0212001931974484
20,"{'L': 5.649, 'H': 4096}",64,1.5590247294052677,0.3889657461249945,0.8761024229912672,0.1584644893777868,0.9692253816220805
20,"{'L': 4.639, 'H': 32768}",64,1.4173260448174927,0.30380763536165084,0.7926837575954968,0.08345315566994786,0.9575254936284199
20,"{'L': 4.073, 'H': 262144}",64,1.3647803336648516,0.4652216277333698,0.974561772220619,0.03379117957525878,1.0017371197285478
22,"{'L': 16.772, 'H': 64}",64,0.7876807120733196,1.0023698656374462,0.38723594372095915,0.2611765015445293,0.4197627221775739
22,"{'L': 7.918, 'H': 512}",64,1.7542911619845558,1.0444548702471235,0.7799505319182202,0.19856415119844628,0.8597323444698081
22,"{'L': 5.649, 'H': 4096}",64,1.709301401319578,0.47889245377385187,0.992883836200415,0.12060983384485033,1.022573139460502
22,"{'L': 4.639, 'H': 32768}",64,1.4265866104007967,0.3329014385800327,0.6092138987428142,0.056617897355144026,0.9845672981561262
22,"{'L': 4.073, 'H': 262144}",64,1.3879742154184946,0.32199759893207835,0.9108796069007132,0.06585051540807962,0.8890098792342848
24,"{'L': 16.772, 'H': 64}",64,0.6682546865432172,1.00448599435788,0.30471309177047606,0.17975486819491865,0.330063722259472
24,"{'L': 7.918, 'H': 512}",64,1.7056366230136666,1.107832885552749,0.902982630374139,0.17833460278319987,0.917437099318744
24,"{'L': 5.649, 'H': 4096}",64,1.924008070808538,0.916782445703791,1.07292197866111,0.06988000857715669,0.9044890895366008
24,"{'L': 4.639, 'H': 32768}",64,1.2025656224043526,0.6126062083559055,0.9636105120246391,0.009200714254366013,0.9976367530827767
24,"{'L': 4.073, 'H': 262144}",64,1.0716437719675975,0.1223629134587897,1.0131467295634269,0.03838797607438868,1.0036634625926155
26,"{'L': 16.772, 'H': 64}",64,0.6329615022676943,1.003133963249827,0.2946986336529092,0.1400728005257353,0.33312906186510216
26,"{'L': 7.918, 'H': 512}",64,1.7586195038441306,1.4609699355344947,0.854329693088582,0.09784881172815417,0.8578696380800895
26,"{'L': 5.649, 'H': 4096}",64,1.6342736212928632,0.3891550391606727,0.96844519915194,0.11070235832300299,1.0094423500590228
26,"{'L': 4.639, 'H': 32768}",64,1.621864095273308,0.6494765885458378,1.1146247548847834,0.031714113497527355,1.0002669096232213
26,"{'L': 4.073, 'H': 262144}",64,1.3212182700761481,0.45371809641852895,0.9472185018499564,0.02207413865490974,0.9985925205890374
28,"{'L': 16.772, 'H': 64}",64,0.5875601871236082,1.0049540581224052,0.24492809860472065,0.09843592184921592,0.3036503227032105
28,"{'L': 7.918, 'H': 512}",64,1.8417525460696922,1.4423570821027623,0.7598103069964816,0.07308613085128647,0.8731934610167829
28,"{'L': 5.649, 'H': 4096}",64,1.5608606029069187,0.5855973799950734,0.9429276371413495,0.034919420646376986,0.994640143149961
28,"{'L': 4.639, 'H': 32768}",64,1.1383867581387075,0.2392852765704445,0.9496842456237827,0.020880279443600637,0.9892634291795313
28,"{'L': 4.073, 'H': 262144}",64,1.3760806732308801,0.2878034518815707,0.8456283431559296,0.04893729033537617,1.0014532617272662
30,"{'L': 16.772, 'H': 64}",64,0.5019046985567566,1.0066542368883227,0.20641697759454952,0.0465229986382737,0.282142533001824
30,"{'L': 7.918, 'H': 512}",64,1.602211184391728,1.076040130069146,0.9467736376758771,0.015351343037910711,1.0390450547105647
30,"{'L': 5.649, 'H': 4096}",64,1.0355782324577472,0.3199607545868221,1.000585064000613,0.014231419500863486,0.9993404707687129
30,"{'L': 4.639, 'H': 32768}",64,1.170263751247354,0.5010441288054895,0.9955397625776724,0.013598415789756334,0.9988533286465137
30,"{'L': 4.073, 'H': 262144}",64,1.230015122437234,0.57385950092869,1.1318314990621072,0.013784674491827402,1.0091996762133166
32,"{'L': 16.772, 'H': 64}",64,0.7534824688416605,1.0116302236953765,0.34122956593341497,0.008983354808182801,0.41218669347167775
32,"{'L': 7.918, 'H': 512}",64,1.6878950470598746,1.3488103713844102,0.8855015191716774,0.028549372524440647,0.9308614729376098
32,"{'L': 5.649, 'H': 4096}",64,1.516529406027808,0.6104092911985617,0.958329091922486,0.022140725981680428,0.9959000953878328
32,"{'L': 4.639, 'H': 32768}",64,1.2792194536395973,0.17318100156261876,1.1209997465926653,0.03514710329888394,0.9997090388038985
32,"{'L': 4.073, 'H': 262144}",64,1.0667705765503315,0.24259502408590355,0.9760453149771782,0.017226669373213845,0.9886853401677189
34,"{'L': 16.772, 'H': 64}",64,0.701520511614045,1.007663540338714,0.3029834566624973,0.0077753705851971505,0.3677302263596106
34,"{'L': 7.918, 'H': 512}",64,1.5417203038715148,1.0043491360795251,1.0673427182756885,0.012289563623125211,1.0123678368706786
34,"{'L': 5.649, 'H': 4096}",64,1.3514523006696366,0.42276395734304784,1.0134973564067769,0.026669843690712722,1.0172949673661378
34,"{'L': 4.639, 'H': 32768}",64,1.3377569782974872,0.4407637764013206,0.954105421404528,0.014076415530452413,0.9887566573182272
34,"{'L': 4.073, 'H': 262144}",64,1.3650717080856456,0.4759985857482933,1.0010531125965116,0.01853045399289281,1.0118320067965265
36,"{'L': 16.772, 'H': 64}",64,0.744409573791954,1.0141757715788604,0.29650495047376907,0.007721088011886524,0.3567125834473208
36,"{'L': 7.918, 'H': 512}",64,1.6610374471746907,1.2412877351244371,0.8588402042879932,0.013757468707325091,1.0039488816646505
36,"{'L': 5.649, 'H': 4096}",64,1.3092872561362114,0.3605063958080475,1.0878317941553897,0.026173415573620164,1.0090417903620577
36,"{'L': 4.639, 'H': 32768}",64,1.1843077722065212,0.5630555799185446,0.9955536774232152,0.007688483721439264,1.0012881630528283
36,"{'L': 4.073, 'H': 262144}",64,1.202699428574118,0.41238009864543246,1.0202954456030473,0.014496587341415674,1.0100446971879797
38,"{'L': 16.772, 'H': 64}",64,0.8828801543881263,1.0221823927565374,0.3835343706159472,0.005235286067210538,0.42293641718888786
38,"{'L': 7.918, 'H': 512}",64,1.7895807494696072,1.3450502643858,0.8722885162887053,0.012817017512356097,1.001957349150449
38,"{'L': 5.649, 'H': 4096}",64,1.2180846496892663,0.46070424848974123,0.9775358829494678,0.009111395771662539,0.9809111834617241
38,"{'L': 4.639, 'H': 32768}",64,1.1681863472154448,0.60088513368841,0.8819862359433608,0.006215051630564284,0.992177249605081
38,"{'L': 4.073, 'H': 262144}",64,1.0246038366009564,0.19100917890491068,0.9900628969753692,0.020118175094187167,1.0018503835977488
40,"{'L': 16.772, 'H': 64}",64,0.951278601913023,1.045828691036334,0.48873689629674144,0.003958130006670884,0.5196499760522766
40,"{'L': 7.918, 'H': 512}",64,1.4974778445102765,0.9201990487747115,0.9754445881306524,0.014921338830014657,0.9951603603794752
40,"{'L': 5.649, 'H': 4096}",64,1.1504414105280962,0.5940397272062818,0.9849434088402819,0.0039943373499931305,0.999261917118378
40,"{'L': 4.639, 'H': 32768}",64,1.0765693673178505,0.21673988940966837,0.9989927515704426,0.03753088720113494,1.0011349425548701
40,"{'L': 4.073, 'H': 262144}",64,1.1253102900456575,0.21439256019465502,0.9964061541316575,0.019317723488682857,1.000570001483719
