arrival_rate,bp_parameter,FCFS_Avg_Flow_Time,SRPT_Avg_Flow_Time,FCFS_L2_Norm,SRPT_L2_Norm,Dynamic_Avg_Flow_Time,Dynamic_L2_Norm,Dynamic_L2_Norm_vs_FCFS,Dynamic_L2_Norm_vs_SRPT
20,"{'L': 4.073, 'H': 262144}",235.36349772520816,83.72083682453928,2256.7984008117437,1292.5689958330347,83.72083682453928,1292.5689958330347,0.6885221607449492,1.0
20,"{'L': 4.639, 'H': 32768}",32.095629302984925,24.673472867132414,223.9700272844368,208.68766936193438,24.673472867132414,208.68766936193438,0.9238732435997914,1.0
20,"{'L': 5.649, 'H': 4096}",294.23825516047157,50.896461666020194,2202.0302635400717,1014.3126115226008,50.896461666020194,1014.3126115226008,0.4599114688566343,1.0
20,"{'L': 7.918, 'H': 512}",47.81477367117362,20.855625217083517,463.1441771857341,310.75180822626794,21.474195486318763,310.15468882188725,0.8703742990007207,0.9938600222314354
20,"{'L': 16.772, 'H': 64}",149.83182058853276,105.63081871815125,1215.4673888277086,1282.552756298859,122.47781120481501,1248.5406150713284,1.0149336332865049,0.9849881159784987
22,"{'L': 4.073, 'H': 262144}",111.37016148537016,42.6247849996671,899.0528532718585,561.2993089021987,42.6247849996671,561.2993089021987,0.7378205537892629,1.0
22,"{'L': 4.639, 'H': 32768}",106.90152347507762,38.743188650681965,1002.3959440852326,616.2944118357647,38.743188650681965,616.2944118357647,0.8220900012449728,1.0
22,"{'L': 5.649, 'H': 4096}",173.210894864608,48.97720451062608,1082.108646914916,673.3576083044068,48.97720451062608,673.3576083044068,0.6105796057454057,1.0
22,"{'L': 7.918, 'H': 512}",14.496189333925676,13.204674379717488,119.56553268317732,115.98138821720927,13.204674379717488,115.98138821720927,0.9708954182934916,1.0
22,"{'L': 16.772, 'H': 64}",185.01640453119367,126.70713490026309,1352.960807816358,1562.919089768019,155.8617697157284,1457.9399487921883,1.058643554542572,0.9489118107262109
24,"{'L': 4.073, 'H': 262144}",64.70387103152295,39.502056950988226,484.21951916931465,452.30428466603297,39.502056950988226,452.30428466603297,0.926908852758233,1.0
24,"{'L': 4.639, 'H': 32768}",410.1530070344575,51.67704060531691,3711.735879841239,1194.2216415336968,51.67704060531691,1194.2216415336968,0.49588963572075023,1.0
24,"{'L': 5.649, 'H': 4096}",290.73596371056533,45.00068565753721,3458.716246068489,1319.2745022005458,45.00068565753721,1319.2745022005458,0.7354612815981599,1.0
24,"{'L': 7.918, 'H': 512}",1685.5031276887673,173.7630441211367,16226.515228580016,4644.3061487781815,174.69674292040463,4644.15833468218,0.5366063458789031,0.9999049751913643
24,"{'L': 16.772, 'H': 64}",127.9970197885229,91.64794614699262,1051.7054744819804,1153.4020823545618,109.82248296775776,1102.5537784182713,1.0561030860664011,0.9507247382295806
26,"{'L': 4.073, 'H': 262144}",97.29012567052939,44.021452341851194,921.1005150165869,615.922217663304,44.021452341851194,615.922217663304,0.7597409113388002,1.0
