arrival_rate,bp_parameter,Rdynamic/RR_ratio,Rdynamic/SRPT_ratio,Rdynamic/SETF_ratio,Rdynamic/FCFS_ratio,Rdynamic/RMLF_ratio,Rdynamic/Dynamic_ratio
20,"{'L': 16.772, 'H': 64}",0.3819713038855732,0.9034216369468353,0.4814233312862502,1.0607481463884145,0.5229133219192567,0.9034216369468353
20,"{'L': 7.918, 'H': 512}",0.36132675807709624,2.0181933229729907,1.0969014506352,1.0925856477533202,1.248663600456592,2.0181933229729907
20,"{'L': 5.649, 'H': 4096}",0.16603649217312325,1.7881650944800445,1.02453737124344,0.4693312496865904,1.1396331787859735,1.7881650944800445
20,"{'L': 4.639, 'H': 32768}",0.11216020606548213,1.7123751428365612,0.9733574924610572,0.903929895062042,0.8893135875789422,1.712375142836561
20,"{'L': 4.073, 'H': 262144}",0.05115154082647406,1.6527169044347954,1.0530456629610905,0.5070722685792824,1.1419345419693263,1.6527169044347954
20,"{'L': 56.3, 'H': 64}",0.7322100312355699,0.9750807485171926,0.712732707476581,1.0778755798652004,0.6492126364388418,0.9750807485171927
20,"{'L': 18.9, 'H': 512}",0.7729717330451444,1.864593622279307,0.9556368489375966,1.127327055609538,1.1175489133688954,1.864593622279307
20,"{'L': 12.4, 'H': 4096}",0.5868280117316009,2.253717098373183,0.8937072916952663,0.8733410519893814,1.3845075315676452,2.2537170983731825
20,"{'L': 9.8, 'H': 32768}",0.47648634593355077,2.236431876212053,0.9986282770637434,0.838553759047261,1.335630850733823,2.236431876212053
20,"{'L': 8.5, 'H': 262144}",0.4538183180318432,2.5191681041181044,1.2575240579254312,0.9097999471280529,1.5695670872007657,2.5191681041181044
20,"{'L': 32.3, 'H': 512}",0.8466159873966965,1.5916301297206095,0.903067750326112,1.102755051993763,0.9370003628790295,1.5916301297206095
20,"{'L': 19.7, 'H': 4096}",0.6847954729149651,2.068987847459479,0.8847124581345066,0.8660361480423279,1.2519085655987603,2.068987847459479
20,"{'L': 15.3, 'H': 32768}",0.5065349654471297,2.1302445920922835,0.6417356684625529,0.6317848176860894,1.307407276580632,2.130244592092284
