coherence_time,L2_norm_flow_time
2,78651483.2870839
4,78788509.2137483
8,79748181.88932641
16,79817424.8408387
32,80494029.0028471
64,80870299.43083379
128,80961140.6923825
256,81103042.4032973
512,80815633.52277191
1024,80627402.5771293
2048,80676588.4675934
4096,78680586.8077214
8192,77801468.3440837
16384,81141446.8653337
32768,84232108.8199796
65536,90340668.0033383
