mean_inter_arrival_time,L2_norm_flow_time
20.0,5268804.12278936
22.0,4637748.24446014
24.0,3948987.5036697397
26.0,3208001.25248132
28.0,2337356.2817890397
30.0,1018420.31033598
32.0,116656.44935407999
34.0,66411.39732488
36.0,51970.64192192
38.0,33496.27577432
40.0,38565.4139271
