coherence_time,L2_norm_flow_time
2,69762008.59261
4,84814832.71843931
8,95126526.8109007
16,102057176.7080925
32,94817869.7528507
64,79416453.1500167
128,80961732.3485432
256,55813163.467485204
512,76619103.3169263
1024,56596656.0666304
2048,83884384.2678848
4096,31334135.375641204
8192,159510764.4058486
16384,97298466.1555228
32768,67834332.2751371
65536,115915419.1173499
