frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,434994.410791,61185.000000
128,259826.012437,48926.000000
16384,36093.811769,32143.000000
16,21517.110842,14558.000000
2048,120011.202798,50718.000000
256,14219.569332,10401.000000
2,264637.625354,52021.000000
32768,831763.931369,52605.000000
32,404744.802901,70784.000000
4096,602605.968078,76806.000000
4,13085.449706,11077.000000
512,462028.014137,74708.000000
64,335095.475140,55412.000000
65536,60442.991496,45239.000000
8192,608306.484070,77238.000000
8,17150.327839,12394.000000
