frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
1024,2951163.433623,991954.000000
128,1027375.874196,615732.000000
16384,131607963.576103,3343149.000000
16,92611071.509886,2251362.000000
2048,2305363.602811,768087.000000
256,161187235.144045,3564867.000000
2,165247624.457949,3591988.000000
32768,202632668.238568,2858194.000000
32,91622009.176740,2182312.000000
4096,169921231.022148,3433820.000000
4,88433647.533746,2213890.000000
512,95502266.225150,2272435.000000
64,2695655.509420,1008947.000000
65536,183765743.498915,2971895.000000
8192,79703408.994718,2405595.000000
8,1400113.414792,1045719.000000
