frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
1024,434994.410791,434994.410791,434994.410791,434994.410791,434994.410791,434994.410791,434994.410791,61185.000000,61185.000000,61185.000000,61185.000000,61185.000000,61185.000000,61185.000000
128,259826.012437,259826.012437,259826.012437,259826.012437,259826.012437,259826.012437,259826.012437,48926.000000,48926.000000,48926.000000,48926.000000,48926.000000,48926.000000,48926.000000
16384,36093.811769,36093.811769,36093.811769,36093.811769,36093.811769,36093.811769,36093.811769,32143.000000,32143.000000,32143.000000,32143.000000,32143.000000,32143.000000,32143.000000
16,21517.110842,21517.110842,21517.110842,21517.110842,21517.110842,21517.110842,21517.110842,14558.000000,14558.000000,14558.000000,14558.000000,14558.000000,14558.000000,14558.000000
2048,120011.202798,120011.202798,120011.202798,120011.202798,120011.202798,120011.202798,120011.202798,50718.000000,50718.000000,50718.000000,50718.000000,50718.000000,50718.000000,50718.000000
256,14237.568999,14219.569332,14237.568999,14237.568999,14237.568999,14219.569332,14219.569332,10401.000000,10401.000000,10401.000000,10401.000000,10401.000000,10401.000000,10401.000000
2,264637.625354,264637.625354,264637.625354,264637.625354,264637.625354,264637.625354,264637.625354,52021.000000,52021.000000,52021.000000,52021.000000,52021.000000,52021.000000,52021.000000
32768,746214.224076,746214.224076,746214.224076,746214.224076,746214.224076,746214.224076,746214.224076,40924.000000,40924.000000,40924.000000,40924.000000,40924.000000,40924.000000,40924.000000
32,404744.802901,404744.802901,404744.802901,404744.802901,404744.802901,404744.802901,404744.802901,70784.000000,70784.000000,70784.000000,70784.000000,70784.000000,70784.000000,70784.000000
4096,602605.968078,602605.968078,602605.968078,602605.968078,602605.968078,602605.968078,602605.968078,76806.000000,76806.000000,76806.000000,76806.000000,76806.000000,76806.000000,76806.000000
4,14682.169526,13085.449706,13085.449706,14682.169526,14682.169526,13085.449706,13085.449706,5908.000000,11077.000000,11077.000000,5908.000000,5908.000000,11077.000000,11077.000000
512,462028.014137,462028.014137,462028.014137,462028.014137,462028.014137,462028.014137,462028.014137,74708.000000,74708.000000,74708.000000,74708.000000,74708.000000,74708.000000,74708.000000
64,335095.475140,335095.475140,335095.475140,335095.475140,335095.475140,335095.475140,335095.475140,55412.000000,55412.000000,55412.000000,55412.000000,55412.000000,55412.000000,55412.000000
65536,60442.991496,60442.991496,60442.991496,60442.991496,60442.991496,60442.991496,60442.991496,45239.000000,45239.000000,45239.000000,45239.000000,45239.000000,45239.000000,45239.000000
8192,608306.484070,608306.484070,608306.484070,608306.484070,608306.484070,608306.484070,608306.484070,77238.000000,77238.000000,77238.000000,77238.000000,77238.000000,77238.000000,77238.000000
8,17150.327839,17150.327839,17150.327839,17150.327839,17150.327839,17150.327839,17150.327839,12394.000000,12394.000000,12394.000000,12394.000000,12394.000000,12394.000000,12394.000000
