frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,610028.375607,89269.000000
128,435217.166766,72429.000000
16384,20328.699024,13481.000000
16,17382.751652,14902.000000
2048,567239.228028,79804.000000
256,19522.954848,10963.000000
2,432662.586912,80554.000000
32768,754542.082873,52480.000000
32,11929.401871,6662.000000
4096,216311.223927,72811.000000
4,16133.742529,12858.000000
512,334918.731975,66375.000000
64,34802.908945,26790.000000
65536,470252.164213,58118.000000
8192,60638.235100,16463.000000
8,15743.577706,12800.000000
