frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
1024,90132242.310606,2410270.000000
128,88714203.092700,2182113.000000
16384,202143725.439422,3415516.000000
16,1586299.633405,1078205.000000
2048,5642011.276579,1161572.000000
256,176744997.188142,3555193.000000
2,761200.053650,657921.000000
32768,12850233.512424,929618.000000
32,163386776.934177,3396837.000000
4096,2194290.781336,1162077.000000
4,164833299.735767,3349319.000000
512,93423622.439267,2209320.000000
64,88978873.631190,2322994.000000
65536,258647691.686649,3443711.000000
8192,93234366.638097,2237255.000000
8,865161.422138,667516.000000
