frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
1024,117917582.353503,3407536.000000
128,108459146.138323,3499566.000000
16384,1942577.285816,649668.000000
16,110425414.819460,3370153.000000
2048,76154894.816965,2215213.000000
256,65386497.573574,2273879.000000
2,734745.094596,458667.000000
32768,28419459.548268,2170998.000000
32,1462160.836734,971887.000000
4096,109323201.726301,3392544.000000
4,109391388.827864,3375913.000000
512,115621092.014070,3506062.000000
64,63277461.005825,2165699.000000
65536,6081527.386420,599481.000000
8192,54397797.662155,2134141.000000
8,470552.603561,297315.000000
