frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
1024,479758.409158,479758.409158,479758.409158,479758.409158,479758.409158,479758.409158,479758.409158,68013.000000,68013.000000,68013.000000,68013.000000,68013.000000,68013.000000,68013.000000
128,296102.773744,267117.048011,267117.048011,267117.048011,296102.773744,267117.048011,267117.048011,59999.000000,64033.000000,64033.000000,64033.000000,59999.000000,64033.000000,64033.000000
16384,711193.201847,711193.201847,711193.201847,711193.201847,711193.201847,711193.201847,711193.201847,38651.000000,38651.000000,38651.000000,38651.000000,38651.000000,38651.000000,38651.000000
16,465996.468694,465996.468694,465996.468694,465996.468694,465996.468694,465996.468694,465996.468694,66281.000000,66281.000000,66281.000000,66281.000000,66281.000000,66281.000000,66281.000000
2048,359531.280077,359531.280077,359531.280077,359531.280077,359531.280077,359531.280077,359531.280077,67315.000000,67315.000000,67315.000000,67315.000000,67315.000000,67315.000000,67315.000000
256,33671.946528,32538.603535,32538.603535,32538.603535,33671.946528,32538.603535,32538.603535,19503.000000,22996.000000,22996.000000,22996.000000,19503.000000,22996.000000,22996.000000
2,8672.356831,8672.356831,8672.356831,8672.356831,8672.356831,8672.356831,8672.356831,3942.000000,3942.000000,3942.000000,3942.000000,3942.000000,3942.000000,3942.000000
32768,5391.689346,5391.689346,5391.689346,5391.689346,5391.689346,5391.689346,5391.689346,4825.000000,4825.000000,4825.000000,4825.000000,4825.000000,4825.000000,4825.000000
32,247928.398597,247928.398597,247928.398597,247928.398597,247928.398597,247928.398597,247928.398597,56738.000000,56738.000000,56738.000000,56738.000000,56738.000000,56738.000000,56738.000000
4096,319812.823186,319812.823186,319812.823186,319812.823186,319812.823186,319812.823186,319812.823186,143680.000000,143680.000000,143680.000000,143680.000000,143680.000000,143680.000000,143680.000000
4,17496.897668,17496.897668,17496.897668,17496.897668,17496.897668,17496.897668,17496.897668,11423.000000,11423.000000,11423.000000,11423.000000,11423.000000,11423.000000,11423.000000
512,45762.184673,35448.774690,45762.184673,45762.184673,45762.184673,35448.774690,35448.774690,14623.000000,26231.000000,14623.000000,14623.000000,14623.000000,26231.000000,26231.000000
64,396999.915618,396999.915618,396999.915618,396999.915618,396999.915618,396999.915618,396999.915618,80607.000000,80607.000000,80607.000000,80607.000000,80607.000000,80607.000000,80607.000000
65536,255312.211185,255312.211185,255312.211185,255312.211185,255312.211185,255312.211185,255312.211185,76740.000000,76740.000000,76740.000000,76740.000000,76740.000000,76740.000000,76740.000000
8192,817023.977108,817023.977108,817023.977108,817023.977108,817023.977108,817023.977108,817023.977108,80772.000000,80772.000000,80772.000000,80772.000000,80772.000000,80772.000000,80772.000000
8,487462.518394,487462.518394,487462.518394,487462.518394,487462.518394,487462.518394,487462.518394,78857.000000,78857.000000,78857.000000,78857.000000,78857.000000,78857.000000,78857.000000
