frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
1024,175077438.452180,3343970.000000
128,94835188.782328,2158872.000000
16384,181775466.405349,3486449.000000
16,1735988.938145,807363.000000
2048,76602324.702989,2219353.000000
256,1919473.395660,1119589.000000
2,551952.722279,313328.000000
32768,1597859.856762,277794.000000
32,89889814.884864,2267679.000000
4096,194623996.871427,3505935.000000
4,1150070.439877,457154.000000
512,924420.299269,370099.000000
64,93392113.140519,2243071.000000
65536,74179897.294192,1842188.000000
8192,139375890.044085,3641691.000000
8,90365722.522936,2318420.000000
