frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
1024,1901654.292470,1038440.000000
128,170913035.964229,3487016.000000
16384,200468004.861233,3569946.000000
16,1541774.975900,983050.000000
2048,845383.279599,589200.000000
256,86996738.689366,2309384.000000
2,87734082.554263,2285435.000000
32768,176914071.471297,3485497.000000
32,168234967.880827,3518338.000000
4096,128774194.801964,3409268.000000
4,162078716.690553,3323751.000000
512,2098762.060953,942595.000000
64,165358588.287877,3377006.000000
65536,82710457.003882,1954858.000000
8192,3502588.762636,1359201.000000
8,585138.471970,366741.000000
