frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,169383.582153,44051.000000
128,236000.429985,122056.000000
16384,9355.645408,3713.000000
16,454487.849547,84264.000000
2048,493189.302504,54082.000000
256,286272.146906,51893.000000
2,436363.629781,100677.000000
32768,372856.875310,64836.000000
32,447261.850450,98386.000000
4096,302167.599332,74565.000000
4,445716.322132,80750.000000
512,492460.542920,96184.000000
64,233407.995540,44268.000000
65536,500832.875114,83477.000000
8192,300916.519656,71561.000000
8,266855.357117,48618.000000
