frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
1024,86925601.997618,2272854.000000
128,96357400.887565,2214478.000000
16384,52516166.697494,2230285.000000
16,164849359.389669,3417643.000000
2048,88553100.897104,2254265.000000
256,2190918.146541,1155457.000000
2,988784.230690,689777.000000
32768,10273095.840791,1115504.000000
32,89548774.269282,2205703.000000
4096,4382776.816200,894716.000000
4,167718826.174706,3455111.000000
512,1709211.630563,993969.000000
64,170684827.475313,3367597.000000
65536,283674340.446916,3618018.000000
8192,190907372.742006,3398793.000000
8,1088153.036954,690475.000000
