frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,162848891.877746,2328607.000000
4,202308908.309934,2705041.000000
8,166948992.301637,2404872.000000
16,165103245.669285,2275238.000000
32,169264251.566199,2399695.000000
64,169779128.930441,2351697.000000
128,168503313.479899,2354024.000000
256,164005821.801263,2294283.000000
512,165509628.562694,2295851.000000
1024,165112700.587534,2258480.000000
2048,178477632.079611,2372568.000000
4096,154831577.512472,2184109.000000
8192,184072023.133784,2458417.000000
16384,151136814.276630,2265897.000000
32768,151244809.054022,2172241.000000
65536,171666057.065945,2295295.000000
