frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,166411334.732437,2399230.000000
4,170623938.929474,2417424.000000
8,160627710.663923,2233051.000000
16,163196089.995180,2283765.000000
32,172609198.421804,2310737.000000
64,163515380.495427,2256011.000000
128,174274127.656508,2400532.000000
256,169517756.439656,2299380.000000
512,168850134.006842,2289312.000000
1024,174390287.989622,2399899.000000
2048,182225923.982246,2463013.000000
4096,163414202.032223,2258530.000000
8192,170829950.451451,2282256.000000
16384,171716778.695114,2281168.000000
32768,131695296.350880,2188182.000000
65536,181209966.838107,2562004.000000
