frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,160249654.412129,2241441.000000
4,165191416.616132,2326232.000000
8,163450556.241808,2318314.000000
16,177391599.911491,2387976.000000
32,168801970.705153,2443240.000000
64,177594916.802512,2519368.000000
128,177133794.059997,2420670.000000
256,169876312.337799,2348366.000000
512,162018348.558686,2315204.000000
1024,173938156.205863,2328683.000000
2048,160388974.808708,2199079.000000
4096,161058550.544058,2232294.000000
8192,173072819.411886,2311109.000000
16384,125157695.084263,2027899.000000
32768,222984741.992846,2600811.000000
65536,178595425.649095,2197582.000000
