frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,165587368.149136,2406980.000000
4,167684951.789294,2455052.000000
8,164906438.001586,2307861.000000
16,166811916.993619,2331919.000000
32,174632165.752256,2350082.000000
64,169440735.978615,2283145.000000
128,162259214.230801,2250927.000000
256,175525713.299750,2331234.000000
512,170657832.244562,2337596.000000
1024,164845338.233376,2291055.000000
2048,160769602.371607,2207972.000000
4096,175645996.981477,2389616.000000
8192,137908638.780741,2354760.000000
16384,173269696.282924,2358199.000000
32768,218144396.093325,2812427.000000
65536,113178395.499550,2319208.000000
