frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,163082749.071653,2268730.000000
4,168328754.874345,2344133.000000
8,172720232.903342,2383693.000000
16,171031544.824862,2354044.000000
32,163176125.859069,2317497.000000
64,172153916.721638,2412267.000000
128,165339078.625264,2283371.000000
256,169113801.439296,2313285.000000
512,160189866.108938,2201846.000000
1024,173577805.950189,2363876.000000
2048,157684639.581949,2172826.000000
4096,167994817.294762,2209357.000000
8192,148650036.540221,2177370.000000
16384,176112187.276788,2316720.000000
32768,154832857.476555,2229742.000000
65536,182484437.489786,2372375.000000
