frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,167735097.422075,2328740.000000
4,164747215.231242,2294859.000000
8,165175565.389363,2316036.000000
16,164493856.959929,2269455.000000
32,189536632.019923,2596724.000000
64,166757064.669854,2319982.000000
128,166497181.818258,2308170.000000
256,177023579.007831,2393115.000000
512,168651536.872039,2329779.000000
1024,168188896.266474,2296100.000000
2048,175464508.821567,2255719.000000
4096,158641427.414444,2205551.000000
8192,141016644.078820,2210522.000000
16384,179515005.556086,2296483.000000
32768,170338730.817328,2527416.000000
65536,230196523.074767,2429565.000000
