frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,162547525.712685,2295740.000000
4,161694403.563214,2278726.000000
8,169530812.071287,2349620.000000
16,164836862.682318,2281935.000000
32,165377622.008782,2331682.000000
64,168036956.445300,2327181.000000
128,178691831.193648,2442220.000000
256,165353017.533157,2291191.000000
512,171611326.521471,2320333.000000
1024,172917882.657002,2306026.000000
2048,171944637.120556,2293971.000000
4096,171968568.616764,2313415.000000
8192,175660724.538917,2372805.000000
16384,153805046.325125,2176420.000000
32768,169514022.931018,2306709.000000
65536,200217349.864863,2457182.000000
