frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,113457439.028686,2327049.000000
4,106009660.491397,2145271.000000
8,113131521.527377,2348839.000000
16,113085812.811088,2276194.000000
32,105274793.266259,2118504.000000
64,118427218.170356,2332694.000000
128,109017620.800149,2174555.000000
256,139698368.093302,2572765.000000
512,112816872.302295,2199578.000000
1024,110910653.289409,2255450.000000
2048,115948220.556374,2241428.000000
4096,116837365.115960,2422582.000000
8192,131683249.213057,2351773.000000
16384,138238778.688875,2450854.000000
32768,91411681.891651,2129842.000000
65536,92418968.721388,1989942.000000
