frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,173670052.382445,2505696.000000
4,171140879.620069,2428970.000000
8,163881750.229154,2329837.000000
16,184634956.529809,2586311.000000
32,171770172.411070,2359889.000000
64,169026529.368090,2351745.000000
128,170430536.414463,2298167.000000
256,181116245.106567,2411901.000000
512,171897565.276870,2341274.000000
1024,165715113.928790,2340974.000000
2048,174089898.279145,2364617.000000
4096,199835043.756139,2655348.000000
8192,171300799.138804,2301230.000000
16384,181513985.954944,2279963.000000
32768,152308620.016065,2256949.000000
65536,215288103.724506,2382938.000000
