frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,159700244.186723,2250249.000000
4,178072524.772425,2467487.000000
8,189973402.498227,2591476.000000
16,167659339.968335,2315583.000000
32,168903637.616450,2316743.000000
64,173420509.679127,2398591.000000
128,164823638.950147,2329519.000000
256,167269661.873844,2305241.000000
512,169759132.060289,2296239.000000
1024,174272953.504262,2352542.000000
2048,157376745.617646,2223691.000000
4096,186564680.231821,2466702.000000
8192,162301784.098458,2212521.000000
16384,175908364.240184,2307327.000000
32768,166826600.400454,2334687.000000
65536,151184593.663231,2117311.000000
